| Id | Qty | Designation | Footprint | Designator(s) |
| :---: | :---: | :--- | :--- | :--- |
| 1 | 15 | 100nf | C_0603_1608Metric | C1, C2, C3, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16 |
| 2 | 1 | 10uf | C_0603_1608Metric | C17 |
| 3 | 1 | 10nF | C_0603_1608Metric | C22 |
| 4 | 15 | SK6812MINI-E | LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount | D1, D2, D3, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16 |
| 5 | 15 | 1N4148W | D_SOD-123 | D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D30, D31, D32 |
| 6 | 2 | 10k | R_0603_1608Metric | R3, R4 |
| 7 | 15 | SW_Push | SW_Cherry_MX_1.00u_PCB | SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW14, SW15, SW16 |
| 8 | 1 | RotaryEncoder_Switch | RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm | SW19 |
| 9 | 1 | RP2040_MICRO | RP2040 MINI | U1 |
| 10 | 1 | 0.91_OLED | Untitled | U2 |
